is there a delegate?;['Each brotherhood elects two delegates who take part in the National Ecclesiastical Assembly', 'two delegates', 'two delegates', 'two delegates'];The Monastic Brotherhood consists of the celibate clergy of the monastery who are led by an abbot. As of 2010, there were three brotherhoods in the Armenian Church – the brotherhood of the Mother See of Holy Etchmiadzin, the brotherhood of St. James at the Armenian Patriarchate of Jerusalem and the brotherhood of the See of Cilicia. Each Armenian celibate priest becomes a member of the brotherhood in which he has studied and ordained in or under the jurisdiction of which he has served. The brotherhood makes decisions concerning the inner affairs of the monastery. Each brotherhood elects two delegates who take part in the National Ecclesiastical Assembly.
how does the brotherhood make decisions?;['The brotherhood makes decisions concerning the inner affairs of the monastery', 'Each brotherhood elects two delegates who take part in the National Ecclesiastical Assembly.', 'concerning the inner affairs of the monastery', 'National Ecclesiastical Assembly'];The Monastic Brotherhood consists of the celibate clergy of the monastery who are led by an abbot. As of 2010, there were three brotherhoods in the Armenian Church – the brotherhood of the Mother See of Holy Etchmiadzin, the brotherhood of St. James at the Armenian Patriarchate of Jerusalem and the brotherhood of the See of Cilicia. Each Armenian celibate priest becomes a member of the brotherhood in which he has studied and ordained in or under the jurisdiction of which he has served. The brotherhood makes decisions concerning the inner affairs of the monastery. Each brotherhood elects two delegates who take part in the National Ecclesiastical Assembly.
how does an Armenian priest become a member of the brotherhood;['Each Armenian celibate priest becomes a member of the brotherhood in which he has studied and ordained in or under the jurisdiction of which he has served', 'studied and ordained in or under the jurisdiction of which he has served.', 'the brotherhood in which he has studied and ordained in', 'studied and ordained'];The Monastic Brotherhood consists of the celibate clergy of the monastery who are led by an abbot. As of 2010, there were three brotherhoods in the Armenian Church – the brotherhood of the Mother See of Holy Etchmiadzin, the brotherhood of St. James at the Armenian Patriarchate of Jerusalem and the brotherhood of the See of Cilicia. Each Armenian celibate priest becomes a member of the brotherhood in which he has studied and ordained in or under the jurisdiction of which he has served. The brotherhood makes decisions concerning the inner affairs of the monastery. Each brotherhood elects two delegates who take part in the National Ecclesiastical Assembly.
what does the monastic brotherhood consist of;['the celibate clergy of the monastery who are led by an abbot', 'celibate clergy of the monastery', 'clergy', 'celibate clergy of the monastery'];The Monastic Brotherhood consists of the celibate clergy of the monastery who are led by an abbot. As of 2010, there were three brotherhoods in the Armenian Church – the brotherhood of the Mother See of Holy Etchmiadzin, the brotherhood of St. James at the Armenian Patriarchate of Jerusalem and the brotherhood of the See of Cilicia. Each Armenian celibate priest becomes a member of the brotherhood in which he has studied and ordained in or under the jurisdiction of which he has served. The brotherhood makes decisions concerning the inner affairs of the monastery. Each brotherhood elects two delegates who take part in the National Ecclesiastical Assembly.
how many brotherhoods are in the Armenian church?;['Mother See of Holy Etchmiadzin, the brotherhood of St. James at the Armenian Patriarchate of Jerusalem and the brotherhood of the See of Cilicia', 'three brotherhoods', 'three', 'three'];The Monastic Brotherhood consists of the celibate clergy of the monastery who are led by an abbot. As of 2010, there were three brotherhoods in the Armenian Church – the brotherhood of the Mother See of Holy Etchmiadzin, the brotherhood of St. James at the Armenian Patriarchate of Jerusalem and the brotherhood of the See of Cilicia. Each Armenian celibate priest becomes a member of the brotherhood in which he has studied and ordained in or under the jurisdiction of which he has served. The brotherhood makes decisions concerning the inner affairs of the monastery. Each brotherhood elects two delegates who take part in the National Ecclesiastical Assembly.
how did the church start at the beginning?;['after the fall of Ani and the Armenian Kingdom of the Bagradits in 1045, masses of Armenians migrated to Cilicia and the Catholicossate settled there', 'Armenians migrated to Cilicia and the Catholicossate settled there.', 'masses of Armenians migrated to Cilicia'];The history of the Great House of Cilicia as an autocephalous church is as follows: after the fall of Ani and the Armenian Kingdom of the Bagradits in 1045, masses of Armenians migrated to Cilicia and the Catholicossate settled there. The seat of the church (now known as the Catholicossate of the Great House of Cilicia) was first established in Sivas (AD 1058) moving to Tavbloor (1062), then to Dzamendav (1066), Dzovk (1116), Hromgla (1149), and finally to Sis (1293), then-capital of the Armenian Kingdom of Cilicia. Beginning in 1293 and continuing for more than six centuries, the city of Sis (modern-day Kozan, Adana, Turkey) was the center of the Catholicossate of the Great House of Cilicia.
what year were things first established?;['The seat of the church (now known as the Catholicossate of the Great House of Cilicia) was first established in Sivas (AD 1058)', '1058', '1058'];The history of the Great House of Cilicia as an autocephalous church is as follows: after the fall of Ani and the Armenian Kingdom of the Bagradits in 1045, masses of Armenians migrated to Cilicia and the Catholicossate settled there. The seat of the church (now known as the Catholicossate of the Great House of Cilicia) was first established in Sivas (AD 1058) moving to Tavbloor (1062), then to Dzamendav (1066), Dzovk (1116), Hromgla (1149), and finally to Sis (1293), then-capital of the Armenian Kingdom of Cilicia. Beginning in 1293 and continuing for more than six centuries, the city of Sis (modern-day Kozan, Adana, Turkey) was the center of the Catholicossate of the Great House of Cilicia.
did the church stay in once place or move?;['in 1293 and continuing for more than six centuries, the city of Sis (mode', 'moving to Tavbloor (1062), then to Dzamendav (1066), Dzovk (1116), Hromgla (1149), and finally to Sis (1293), then-capital of the Armenian Kingdom of Cilicia.', 'first established in Sivas (AD 1058) moving to Tavbloor (1062), then to Dzamendav (1066), Dzovk (1116), Hromgla (1149), and finally to Sis (1293)'];The history of the Great House of Cilicia as an autocephalous church is as follows: after the fall of Ani and the Armenian Kingdom of the Bagradits in 1045, masses of Armenians migrated to Cilicia and the Catholicossate settled there. The seat of the church (now known as the Catholicossate of the Great House of Cilicia) was first established in Sivas (AD 1058) moving to Tavbloor (1062), then to Dzamendav (1066), Dzovk (1116), Hromgla (1149), and finally to Sis (1293), then-capital of the Armenian Kingdom of Cilicia. Beginning in 1293 and continuing for more than six centuries, the city of Sis (modern-day Kozan, Adana, Turkey) was the center of the Catholicossate of the Great House of Cilicia.
Did the church stay in any one place for an extended amount of time?;['to Sis (1293), then-capital of the Armenian Kingdom of Cilicia. Beginning in 1293 and continuing for more than six centuries', 'Beginning in 1293 and continuing for more than six centuries', 'Sis'];The history of the Great House of Cilicia as an autocephalous church is as follows: after the fall of Ani and the Armenian Kingdom of the Bagradits in 1045, masses of Armenians migrated to Cilicia and the Catholicossate settled there. The seat of the church (now known as the Catholicossate of the Great House of Cilicia) was first established in Sivas (AD 1058) moving to Tavbloor (1062), then to Dzamendav (1066), Dzovk (1116), Hromgla (1149), and finally to Sis (1293), then-capital of the Armenian Kingdom of Cilicia. Beginning in 1293 and continuing for more than six centuries, the city of Sis (modern-day Kozan, Adana, Turkey) was the center of the Catholicossate of the Great House of Cilicia.
where was the city of Sis in todays map?;['the city of Sis (modern-day Kozan, Adana, Turkey)', 'modern-day Kozan, Adana, Turkey', 'Kozan, Adana, Turkey'];The history of the Great House of Cilicia as an autocephalous church is as follows: after the fall of Ani and the Armenian Kingdom of the Bagradits in 1045, masses of Armenians migrated to Cilicia and the Catholicossate settled there. The seat of the church (now known as the Catholicossate of the Great House of Cilicia) was first established in Sivas (AD 1058) moving to Tavbloor (1062), then to Dzamendav (1066), Dzovk (1116), Hromgla (1149), and finally to Sis (1293), then-capital of the Armenian Kingdom of Cilicia. Beginning in 1293 and continuing for more than six centuries, the city of Sis (modern-day Kozan, Adana, Turkey) was the center of the Catholicossate of the Great House of Cilicia.
