What size is the holder?;['not too big and not too small', 'not too big and not too small', 'too big and not too small'];It's a very nice holder - not too big and not too small. It fits any lipstick, lip gloss, chapstick, etc nicely. I love that I'm able to see what I have and not have to dig through a makeup bag anymore. I would highly recommend.
What does it fit nicely?;['any lipstick, lip gloss, chapstick', 'any lipstick, lip gloss, chapstick, etc', 'fits any lipstick, lip gloss, chapstick, etc nicely'];It's a very nice holder - not too big and not too small. It fits any lipstick, lip gloss, chapstick, etc nicely. I love that I'm able to see what I have and not have to dig through a makeup bag anymore. I would highly recommend.
Does the writer recommend the holder?;['I would highly recommend.', 'highly', 'highly recommend.'];It's a very nice holder - not too big and not too small. It fits any lipstick, lip gloss, chapstick, etc nicely. I love that I'm able to see what I have and not have to dig through a makeup bag anymore. I would highly recommend.
Do you have to dig through a makeup bag?;['not have to dig through a makeup bag anymore.', 'not', 'not have to dig'];It's a very nice holder - not too big and not too small. It fits any lipstick, lip gloss, chapstick, etc nicely. I love that I'm able to see what I have and not have to dig through a makeup bag anymore. I would highly recommend.
What is the product?;['holder', 'holder', 'holder'];It's a very nice holder - not too big and not too small. It fits any lipstick, lip gloss, chapstick, etc nicely. I love that I'm able to see what I have and not have to dig through a makeup bag anymore. I would highly recommend.
Who assembled the glass shelves?;['My wife', 'wife', 'wife'];First of all, this thing is freakin' awesome. My wife put it together while I did some work, she assembled all the glass shelves in to the frame. We hung it up with 6 BIG 4" wall toggle bolts. On the top shelf I house an external WD Hdd, a WDTV Live and a Actiontec HDMI WiFi Transmitter. On the second shelf I have my Dish Network 722 (fits perfectly even with all the wires coming out the back). On the bottom shelf I have an old Ken wood Stereo Receive (fits, but the front legs come off just a bit but this doesn't affect stability. The receiver measures 17"w x 14"d x 5"h.The wire maintenance was a little trick. We used a wire coat hanger and some masking tape to thread the bulky wires through the back.This unit installed is an amazing addition to your small living space, I highly recommend it!
What's on the second shelf?;['Dish Network 722', 'Dish Network 722', 'Dish Network 722'];First of all, this thing is freakin' awesome. My wife put it together while I did some work, she assembled all the glass shelves in to the frame. We hung it up with 6 BIG 4" wall toggle bolts. On the top shelf I house an external WD Hdd, a WDTV Live and a Actiontec HDMI WiFi Transmitter. On the second shelf I have my Dish Network 722 (fits perfectly even with all the wires coming out the back). On the bottom shelf I have an old Ken wood Stereo Receive (fits, but the front legs come off just a bit but this doesn't affect stability. The receiver measures 17"w x 14"d x 5"h.The wire maintenance was a little trick. We used a wire coat hanger and some masking tape to thread the bulky wires through the back.This unit installed is an amazing addition to your small living space, I highly recommend it!
What's on the bottom shelf?;['old Ken wood Stereo Receive', 'Ken wood Stereo Receive', 'Ken wood Stereo Receive'];First of all, this thing is freakin' awesome. My wife put it together while I did some work, she assembled all the glass shelves in to the frame. We hung it up with 6 BIG 4" wall toggle bolts. On the top shelf I house an external WD Hdd, a WDTV Live and a Actiontec HDMI WiFi Transmitter. On the second shelf I have my Dish Network 722 (fits perfectly even with all the wires coming out the back). On the bottom shelf I have an old Ken wood Stereo Receive (fits, but the front legs come off just a bit but this doesn't affect stability. The receiver measures 17"w x 14"d x 5"h.The wire maintenance was a little trick. We used a wire coat hanger and some masking tape to thread the bulky wires through the back.This unit installed is an amazing addition to your small living space, I highly recommend it!
What are the dimensions of the receiver?;['17"w x 14"d x 5"h', '17"w x 14"d x 5"h', '17"w x 14"d x 5"h'];First of all, this thing is freakin' awesome. My wife put it together while I did some work, she assembled all the glass shelves in to the frame. We hung it up with 6 BIG 4" wall toggle bolts. On the top shelf I house an external WD Hdd, a WDTV Live and a Actiontec HDMI WiFi Transmitter. On the second shelf I have my Dish Network 722 (fits perfectly even with all the wires coming out the back). On the bottom shelf I have an old Ken wood Stereo Receive (fits, but the front legs come off just a bit but this doesn't affect stability. The receiver measures 17"w x 14"d x 5"h.The wire maintenance was a little trick. We used a wire coat hanger and some masking tape to thread the bulky wires through the back.This unit installed is an amazing addition to your small living space, I highly recommend it!
Does the writer recommend the pod?;["I'll never use the dang thing again", 'not', "don't buy this"];The presto my pod makes, to me, a very weak and watery cup of coffee. It could be just me, I prefer using the medium or dark roast pods, I like strong coffee. I tried using a few different types of coffee in the presto my pod, but it didn't seem to make a difference. I'm not convinced that the pressure is strong enough to brew a decent cup.don't buy this... heck I'll sell you mine for a dollar :-) I'll never use the dang thing again.I followed up by buying the brown eco pod, and THAT worked decently and made a nice cup of coffee by my standards.
