Which baseball teams was Mattingly apart of?;['Yankee', 'Yankees'];Mattingly’s election to baseball’s Hall of Fame in this, his last year of eligibility, is probably not forthcoming (this year’s class of inductees will be announced Tuesday), a melancholy fact. But then, his playing days as a Yankee had something of a melancholy cast. He arrived for a cup of coffee in 1982, a year after the Yankees went to the World Series, and retired in 1995, a year before they returned. And in the last half of his career he was a diminished player, his skills attenuated by the persistent back problems that forced him to quit prematurely at 34, his spirit likely withered by the mortifying shenanigans of the Yankees’ principal owner, George Steinbrenner, and his minions (who once ordered Mattingly fined and benched for not getting a haircut), not to mention the ignominy of a last-place finish in 1990.
What was the punishment for Mattingly for not getting a haircut?;['fined and benched', 'benched', 'fined and benched'];Mattingly’s election to baseball’s Hall of Fame in this, his last year of eligibility, is probably not forthcoming (this year’s class of inductees will be announced Tuesday), a melancholy fact. But then, his playing days as a Yankee had something of a melancholy cast. He arrived for a cup of coffee in 1982, a year after the Yankees went to the World Series, and retired in 1995, a year before they returned. And in the last half of his career he was a diminished player, his skills attenuated by the persistent back problems that forced him to quit prematurely at 34, his spirit likely withered by the mortifying shenanigans of the Yankees’ principal owner, George Steinbrenner, and his minions (who once ordered Mattingly fined and benched for not getting a haircut), not to mention the ignominy of a last-place finish in 1990.
How old was Mattingly when he was forced to quit?;['34', '34', '34'];Mattingly’s election to baseball’s Hall of Fame in this, his last year of eligibility, is probably not forthcoming (this year’s class of inductees will be announced Tuesday), a melancholy fact. But then, his playing days as a Yankee had something of a melancholy cast. He arrived for a cup of coffee in 1982, a year after the Yankees went to the World Series, and retired in 1995, a year before they returned. And in the last half of his career he was a diminished player, his skills attenuated by the persistent back problems that forced him to quit prematurely at 34, his spirit likely withered by the mortifying shenanigans of the Yankees’ principal owner, George Steinbrenner, and his minions (who once ordered Mattingly fined and benched for not getting a haircut), not to mention the ignominy of a last-place finish in 1990.
Who wanted Mattingly punished for not getting a haircut?;['George Steinbrenner, and his minions', 'George Steinbrenner', 'George Steinbrenner'];Mattingly’s election to baseball’s Hall of Fame in this, his last year of eligibility, is probably not forthcoming (this year’s class of inductees will be announced Tuesday), a melancholy fact. But then, his playing days as a Yankee had something of a melancholy cast. He arrived for a cup of coffee in 1982, a year after the Yankees went to the World Series, and retired in 1995, a year before they returned. And in the last half of his career he was a diminished player, his skills attenuated by the persistent back problems that forced him to quit prematurely at 34, his spirit likely withered by the mortifying shenanigans of the Yankees’ principal owner, George Steinbrenner, and his minions (who once ordered Mattingly fined and benched for not getting a haircut), not to mention the ignominy of a last-place finish in 1990.
Which team did Mattingly play for?;['Yankees', 'Yankees', 'Yankee'];Mattingly’s election to baseball’s Hall of Fame in this, his last year of eligibility, is probably not forthcoming (this year’s class of inductees will be announced Tuesday), a melancholy fact. But then, his playing days as a Yankee had something of a melancholy cast. He arrived for a cup of coffee in 1982, a year after the Yankees went to the World Series, and retired in 1995, a year before they returned. And in the last half of his career he was a diminished player, his skills attenuated by the persistent back problems that forced him to quit prematurely at 34, his spirit likely withered by the mortifying shenanigans of the Yankees’ principal owner, George Steinbrenner, and his minions (who once ordered Mattingly fined and benched for not getting a haircut), not to mention the ignominy of a last-place finish in 1990.
In what year did Mattingly retire?;['1995', '1995', '1995'];Mattingly’s election to baseball’s Hall of Fame in this, his last year of eligibility, is probably not forthcoming (this year’s class of inductees will be announced Tuesday), a melancholy fact. But then, his playing days as a Yankee had something of a melancholy cast. He arrived for a cup of coffee in 1982, a year after the Yankees went to the World Series, and retired in 1995, a year before they returned. And in the last half of his career he was a diminished player, his skills attenuated by the persistent back problems that forced him to quit prematurely at 34, his spirit likely withered by the mortifying shenanigans of the Yankees’ principal owner, George Steinbrenner, and his minions (who once ordered Mattingly fined and benched for not getting a haircut), not to mention the ignominy of a last-place finish in 1990.
What forced Mattingly to retire prematurely?;['persistent back problems', 'back problems', 'back problems'];Mattingly’s election to baseball’s Hall of Fame in this, his last year of eligibility, is probably not forthcoming (this year’s class of inductees will be announced Tuesday), a melancholy fact. But then, his playing days as a Yankee had something of a melancholy cast. He arrived for a cup of coffee in 1982, a year after the Yankees went to the World Series, and retired in 1995, a year before they returned. And in the last half of his career he was a diminished player, his skills attenuated by the persistent back problems that forced him to quit prematurely at 34, his spirit likely withered by the mortifying shenanigans of the Yankees’ principal owner, George Steinbrenner, and his minions (who once ordered Mattingly fined and benched for not getting a haircut), not to mention the ignominy of a last-place finish in 1990.
At what age did Mattingly retire from baseball?;['34', '34', '34'];Mattingly’s election to baseball’s Hall of Fame in this, his last year of eligibility, is probably not forthcoming (this year’s class of inductees will be announced Tuesday), a melancholy fact. But then, his playing days as a Yankee had something of a melancholy cast. He arrived for a cup of coffee in 1982, a year after the Yankees went to the World Series, and retired in 1995, a year before they returned. And in the last half of his career he was a diminished player, his skills attenuated by the persistent back problems that forced him to quit prematurely at 34, his spirit likely withered by the mortifying shenanigans of the Yankees’ principal owner, George Steinbrenner, and his minions (who once ordered Mattingly fined and benched for not getting a haircut), not to mention the ignominy of a last-place finish in 1990.
For what was Mattingly once fined and benched for?;['not getting a haircut', 'not getting a haircut', 'not getting a haircut'];Mattingly’s election to baseball’s Hall of Fame in this, his last year of eligibility, is probably not forthcoming (this year’s class of inductees will be announced Tuesday), a melancholy fact. But then, his playing days as a Yankee had something of a melancholy cast. He arrived for a cup of coffee in 1982, a year after the Yankees went to the World Series, and retired in 1995, a year before they returned. And in the last half of his career he was a diminished player, his skills attenuated by the persistent back problems that forced him to quit prematurely at 34, his spirit likely withered by the mortifying shenanigans of the Yankees’ principal owner, George Steinbrenner, and his minions (who once ordered Mattingly fined and benched for not getting a haircut), not to mention the ignominy of a last-place finish in 1990.
Who had the most grand slams in the season of 1987?;['Don Mattingly', 'six', 'Don Mattingly'];Don Mattingly is the author of one of baseball’s most preposterous statistical anomalies. In 1987, he set the major league record (it has since been tied) for most grand slams in a season — six — and those were the only ones he ever hit. Two of them came during a streak in mid-July when he matched the record for most consecutive games with a home run — eight — actually hitting 10 in eight games. The last one, in Texas against the Rangers, just barely sailed over the wall in left-center field, not exactly the left-handed Mattingly’s power alley. “Holy cow, he did it!” Phil Rizzuto screamed, announcing the feat on TV. “Holy cow, Mattingly is unbelievable.”
How many home runs did Mattingly hit in eight games?;['10', '10', '10'];Don Mattingly is the author of one of baseball’s most preposterous statistical anomalies. In 1987, he set the major league record (it has since been tied) for most grand slams in a season — six — and those were the only ones he ever hit. Two of them came during a streak in mid-July when he matched the record for most consecutive games with a home run — eight — actually hitting 10 in eight games. The last one, in Texas against the Rangers, just barely sailed over the wall in left-center field, not exactly the left-handed Mattingly’s power alley. “Holy cow, he did it!” Phil Rizzuto screamed, announcing the feat on TV. “Holy cow, Mattingly is unbelievable.”
How many grand slams did Mattingly hit in the middle of July?;['Two', '10', 'six'];Don Mattingly is the author of one of baseball’s most preposterous statistical anomalies. In 1987, he set the major league record (it has since been tied) for most grand slams in a season — six — and those were the only ones he ever hit. Two of them came during a streak in mid-July when he matched the record for most consecutive games with a home run — eight — actually hitting 10 in eight games. The last one, in Texas against the Rangers, just barely sailed over the wall in left-center field, not exactly the left-handed Mattingly’s power alley. “Holy cow, he did it!” Phil Rizzuto screamed, announcing the feat on TV. “Holy cow, Mattingly is unbelievable.”
What state did Mattingly hit the last grand slam in?;['Texas', 'Texas', 'Texas'];Don Mattingly is the author of one of baseball’s most preposterous statistical anomalies. In 1987, he set the major league record (it has since been tied) for most grand slams in a season — six — and those were the only ones he ever hit. Two of them came during a streak in mid-July when he matched the record for most consecutive games with a home run — eight — actually hitting 10 in eight games. The last one, in Texas against the Rangers, just barely sailed over the wall in left-center field, not exactly the left-handed Mattingly’s power alley. “Holy cow, he did it!” Phil Rizzuto screamed, announcing the feat on TV. “Holy cow, Mattingly is unbelievable.”
